state,district,rural_urban,stunting_tier,stunting,wash_score,empowerment_score,healthcare_score,immunization_score,nutrition_deprivation,wealth_proxy,fertility_risk,ifa_100days,early_breastfeed,excl_breastfeed,vitamin_a,diarrhoea_prev,oop_delivery_cost,birth_registration,unmet_need_total,wash_score_sc,empowerment_score_sc,healthcare_score_sc,immunization_score_sc,nutrition_deprivation_sc,wealth_proxy_sc,fertility_risk_sc,ifa_100days_sc,early_breastfeed_sc,excl_breastfeed_sc,vitamin_a_sc,diarrhoea_prev_sc,oop_delivery_cost_sc,birth_registration_sc,unmet_need_total_sc,predicted_stunting_rf,predicted_stunting_ridge,residual_rf,cluster,risk_segment
AR,West Kameng,Rural,Low (<30%),27.3,69.89999999999999,50.6,38.81666666666666,45.7,10.9,76.77499999999999,25.53333333333333,6.8,67.9,48.7,45.4,7.5,5932.0,62.4,35.7,0.9271974341887332,-0.4661788810472798,-1.187634178481099,-2.3931774497215974,-2.3040918988482395,1.48012229258172,0.7371188350952741,-1.2550544115354436,1.3616913251021674,-0.5657280396884834,-0.8224682474205612,-0.1865480756237073,1.0993162277446822,-1.1360468289390118,3.346931156759273,31.78069419348544,32.96010467930486,-4.480694193485437,2,Tier 2 — Moderate Risk
AR,West Siang,Rural,Moderate (30–40%),34.7,71.76666666666667,63.16666666666666,30.05,53.82000000000001,13.825,76.875,18.433333333333334,1.3,66.0,65.5,45.8,4.5,4400.0,55.2,27.6,1.0587705828764105,0.5611897986266213,-1.7156321841981648,-1.772919791865578,-1.9344447236746865,1.4893277971448202,-0.3002699325746771,-1.5493868705052851,1.2473145694912358,0.6199080854147433,-0.7997719900075965,-0.7665447389509582,0.5370412650667186,-1.5696883906836343,2.094897313018484,30.629682872854453,29.70825788275021,4.07031712714555,2,Tier 2 — Moderate Risk
AS,Baksa,Rural,Moderate (30–40%),32.4,51.1,57.53333333333333,63.16666666666666,75.88000000000001,30.625,50.325,22.9,39.7,74.3,62.9,54.2,2.7,2988.0,97.3,12.4,-0.3979321347371527,0.1006452180831485,0.2789154153452,-0.0878355637493493,0.1886570003990566,-0.9547336643581008,0.3523596207951517,0.5055888430296095,1.7469603966337244,0.4364167803392438,-0.3231505843353345,-1.1145427369473089,0.0188087276637913,0.965910185628674,-0.2545982949889231,35.67185656506234,37.50341679577927,-3.2718565650623432,0,Tier 1 — Low Risk (Developed)
AS,Barpeta,Rural,High (40–50%),41.7,51.76666666666666,53.93333333333334,45.65,53.56,27.625,55.025,32.13333333333333,18.6,68.0,56.7,41.1,1.8,1998.0,96.9,10.1,-0.3509417244915541,-0.1936672949268809,-0.7760767975989754,-1.7927802587427415,-0.1904683074712542,-0.5220749498924239,1.7014520557462152,-0.6235774995637832,1.3677111543448477,-0.0011394086869467,-1.0664530146099331,-1.288541735945484,-0.3445412808552582,0.9418189877539732,-0.6101140777795176,41.49304617852187,39.890050298287655,0.2069538214781303,2,Tier 2 — Moderate Risk
AS,Bongaigaon,Rural,Moderate (30–40%),39.1,49.03333333333333,56.13333333333333,46.03333333333334,64.62,25.325000000000003,56.175,32.333333333333336,35.5,70.0,68.3,51.4,1.4,2730.0,94.3,9.9,-0.5436024064985088,-0.0138096480874185,-0.7529894323299778,-0.9479465523526468,-0.4811310435051592,-0.4162116474167796,1.7306742745538195,0.2808258743617302,1.4881077391984594,0.8175141062652809,-0.4820243862260887,-1.365874624389117,-0.0758824866775367,0.7852262015684144,-0.6410284936743519,39.21477698965548,38.24142261515157,-0.114776989655482,2,Tier 2 — Moderate Risk
AS,Cachar,Rural,Moderate (30–40%),36.3,42.56666666666667,60.366666666666674,51.94999999999999,65.18,33.475,49.825,19.566666666666663,18.9,31.5,28.6,56.9,6.7,4090.0,93.5,12.9,-0.9994093858808168,0.3322800662854877,-0.3966409683954571,-0.90517016215568,0.548826042875853,-1.0007611871735989,-0.1346773593315863,-0.607523001801792,-0.8295265192335668,-1.984256975079844,-0.1699508467978221,-0.3412138525109742,0.4232649997728748,0.7370438058190121,-0.1773122552518374,36.55272698956529,39.58944968612933,-0.2527269895652964,1,Tier 3 — High Risk
AS,Chirang,Rural,High (40–50%),40.1,40.56666666666667,50.23333333333333,45.45,59.2,29.275,48.7,28.03333333333333,34.3,77.4,71.5,48.8,0.8,2356.0,94.7,7.9,-1.1403806166176131,-0.4961551555205236,-0.7881223794784523,-1.361960900330433,0.0180506118574168,-1.1043231135084686,1.102396570190327,0.2166078833137646,1.9335751031568231,1.0433495586658956,-0.6295500594103602,-1.4818739570545676,-0.2131480454513999,0.809317399443116,-0.9501726526226948,40.73075693070543,40.28119714596396,-0.6307569307054237,2,Tier 2 — Moderate Risk
AS,Darrang,Rural,High (40–50%),43.5,53.4,53.73333333333333,48.25,59.3,33.0,49.7,28.633333333333336,25.1,69.1,59.9,47.4,0.7,3026.0,94.0,6.3,-0.2358152193898365,-0.2100179900941056,-0.619484233165777,-1.3543222592238322,0.4887978691297202,-1.0122680678774734,1.190063226613141,-0.2757300480539703,1.4339292760143336,0.2246960437136675,-0.708986960355737,-1.5012071791654755,0.0327554956675528,0.7671578031623887,-1.1974879797813691,40.43927848984232,40.50564158414075,3.060721510157677,2,Tier 2 — Moderate Risk
AS,Dhemaji,Rural,Moderate (30–40%),35.5,48.03333333333333,61.7,58.7,73.08,20.975,45.8,27.53333333333333,34.9,67.9,79.5,43.9,4.1,3319.0,96.8,17.9,-0.6140880218669069,0.4412847007336459,0.0098974200368849,-0.3017175147341843,-1.030862739917111,-1.3712827458383543,1.0293410231713167,0.2487168788377474,1.3616913251021674,1.6079381896674323,-0.9075792127191794,-0.8438776273945917,0.1402924173807664,0.9357961882852972,0.5955481421190199,35.34015142394584,36.1484105683807,0.1598485760541592,2,Tier 2 — Moderate Risk
AS,Dhubri,Rural,High (40–50%),47.4,46.36666666666667,47.2,31.53333333333333,37.16,30.700000000000003,48.0,36.73333333333333,13.0,61.6,60.0,32.7,2.7,3599.0,95.2,21.9,-0.7315640474809038,-0.7441406988900857,-1.6262941185920454,-3.0455174002253416,0.1981351330958152,-1.1687616454501646,2.3735630883211134,-0.923261457787622,0.98244208281329,0.2317534016011868,-1.5430744202821949,-1.1145427369473089,0.2430580763558512,0.8394313967864926,1.213836460015706,40.75088682109512,44.8821309971088,6.649113178904884,2,Tier 2 — Moderate Risk
